Name,Price,Link
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",47.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=MmltSjNaMGRzVVV0YnJaNnR6UnZvK0U3RStmREowdTJFOGZTelY0UHRwODdRdGU0WGJXWWdoSDB5aEg4MDVFc1VsK1NRY2Q3VmhqaG1rT3dBM1crL1dMWVBrMXF6ZkdqUGpRR3VBbm9lS0RsZ2FVcjd1bks2d1NDc25qOWlJQ054MDFDSnRVNnpFRWlsUFIwakdyRmhhZ056ZjVLQ213QXhEbklPbno1ajR4dDF5RHBxME51cU9OeitMOEdkZFhCT2l1SWc5RlREendCS1NyZ0EyT2U0aC9TMUlPb0ljUlFkOTQvTXJOY0V1OUFySkZQeXJnZTJaUnFRYjJPVFRXZzc3ZVl1ZDlkdEtwQVM3WEx5VXQ0NGNQNUkySFhOenhoeGI1RXR4TFN4UU5wNVliRUNEaWpHU3RzdDRWOGdPYmZPRHJ6ZDhYdTYvb200bFZGdmsySmM3Z1RRS09IMHo5cnRGTDBrUHBsYjRSU0lRelhIT1lxL21GS2tncnkvTzNTdmZ6VTh6NExXSnBCdzNhVm92QjRrVE1wWGNDU0RWUmszNStNcncza0FKZ1B4ZHp4M0hsbkkrV1J3cm9Wb3NhdDI3NlRpU2MxZy9EdThzb3JuS2JtaEVSR1ZUSmRBNXJkNTZZdk5Ra0xBc0tmVzRZaEE1WFFpR2xyN1kxemxIdWpqWnF5cXRCSEZaRm5SSXZjUnZHMWZLUm5KbzcyU0k1WHhTRjI1RnVHb0hz&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-deputy-15-p1-md62764-intel-core-5-210h-16gb-1tb-ssd-rtx5060-freedos-15-6-144hz-fhd-ips-tasinabilir-bilgisayar-p-HBCV00009FHJ60%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"MSI CYBORG 15 A13VE-1252XTR Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD Taşınabilir Bilgisayar",36.490 TL,https://www.hepsiburada.com/msi-cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00006IUW8W
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gök Mavisi MC7A4TU/A",60.599 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=akNQM2xHWUg5ZFVOT2tnYTRtSDJWZlU4VUNMcVBEUU94dzZ2MG5QMzl3aVA0cmllQnpWNUIxMXhOZDBiYVk0R2liRWRBbjhzaUlQTGdvcjkwcTFrME5lS1JXWFlwQW8rVE5IOEhjRXhIVDdlVjhFUVRGaHhZcjVuWVRCN1Vlem9hL0VPemNMQzVzVC9sU2pxeHVUbmx3V0pkbkt5UG5lRnBjZEhDT0xFVHkzOC9VbHVneGtBVE0zTW5IdktxK2tIYk0raGRpZ1haZEdYbDRnNWNsenMyZUtnWnpGR0p2ZjB1Q3N0THpKV2k0cFZKaDI5ZkRYZVJ5R3F0SVBYZHFYSzhmRGFzNmxIU29jdWM0L25obmpjeUxPSDF4aFh2Q2dETXJTZXp5RWlTQkg0aUFCdE9HbjVSU0dDaUdXZk1mOW9RRFQ0UzRMVXJuUndYeGh5dmNtMkNNOUJMaTBzYVpZT1VPSVRnbUZydGFOMW9lWmRRUzd2OC9DaEYzaXFxT1N1L3FnQWZFTnNzMFRHZlJWVmhGL2hFK3h0SmI3ZFgrY2F4Y3l1THAvWEN2ejlCdkFtTUJ6YkFJNFF3QjBvREVFMUd3cUpFUFRRZTBVUHRXWWtSRFZGRHU3UFJMTVgxSHhRSjZqV3VUR1RsVlkyaDlDR0VZTXBDdFgzbkc5cHJ0NmlOWWRnUnh3RHVsRGdaYzdEd0VzcFpZV0hpRXJmM3o0U005aVdWWDJGOHlJ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gok-mavisi-mc7a4tu-a-p-HBCV00008749NG%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Lenovo Ideapad Slim 3 Intel Celeron N100 4GB 128GB Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar 82XB009GTX",8.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-celeron-n100-4gb-128gb-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-82xb009gtx-pm-HBC00008O183I
"Lenovo Ideapad Slim 3 Intel Core i5 13420H 16GB 512GB SSD 15.3"" WUXGA IPS Freedos Taşınabilir Bilgisayar 83K1003MTR",21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-16gb-512gb-ssd-freedos-15-3-wuxga-tasinabilir-bilgisayar-83k1003mtr-pm-HBC00008O31RA
"MSI THIN 15 B13UC-3074XTR Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar","31.170,50 TL",https://www.hepsiburada.com/msi-thin-15-b13uc-3074xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00008QM2JK
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",51.799 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-pm-HBC0000A9HHKW
"Lenovo IdeaPad Slim 3 Intel Core i5 13420H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 83EM00C7TR",21.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-83em00c7tr-pm-HBC00009PPGDY
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gümüş MW1G3TU/A",60.699 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=ZldwUXd2T1JtZitjOU1HbEVSZnRVRHZQb0NnUi80SGlGenZnMEdKbzkrWC90SDR4cnlSN05wUmFhdURjeDg4emppMU1nd0J5U2xvLzUwYks0YTBXMW5VUmZYZ2ZKampnM3I5U2V1ekJNUVIyWXM4aHZORktqRWZDSXh5RU9lUVFZM29UckpIekdYOE1DVEE5ZWdyTkcrSDY3VnloQmI2bHE4L2FyT0RScjNKV3JhdkV2Nktvb2d6ZUkvdjlQUVlXWUN5UkM5OUc3dzFlenNRRmJwcHg4c2duRGZyb1cxQU1XbGRMUU90bEw0d3hwcURuNmdvQmVPK0FKYnpNZ1NwRUVVZFZNZG5xaW9RYm40UElXeU1VUWFxNmdlSTNTa2g5cDIxZGhtOWdzN1owSkthVWowVnd6S2VlRlF1NlAzU1ZMWUl5SUlYdFMvN2t6TTREcDliM1BGVTZGRzNuOVVEaUJwdW5JM3R3ZHNwa0J4dEY0ai9sUTE5dy8wTXNXUFBVN3dCTkw4eFgybmRyUjUzOTJlcUZaZjcxaE1aSXgrTXY2OVp0b044SnE5S3NYZzlZa0pSQWUrUjZ4NEdNK0tLb0hOcmRWNlBKSDlibDNvRDJZMkYvNDQvdGp4U3A3djljdlBmeVAzbmJhL1UrK3dnWWV6WHpNOUc1aWt6Wk1MaE8zNWxRRXRnRjlFTU5xZE1PYWprQi85L1h2dGlsMWNuLzRoSHhXckViQ0pN&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mw1g3tu-a-p-HBCV00008749UT%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U8TX","17.137,28 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-HBC00009POGNP
"Erazer Defender 17 P1 MD62757 Intel Core i7 13620H 16GB 1TB SSD RTX5060 Freedos 17.3"" Taşınabilir Bilgisayar",51.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=YzVycXh3YWxKTHJuS0JVOWc0KzVnUEV2NFI4b0lUWHFCVDVlNFZrbTFOazh3Si9rUGdiK0VGVHNTN0ZRV2tqRS9WU0lxWXFmNmpMeTB5VDhDMHdCSHdDUURyZ1ZNSWo2QndWdENFcTFUL0VxUld3NFp3cEw0QXZwcEVtUHVRUG0rQ05UWm9jTkxRcGVkY1B6bEYzd09LL04zMGF0OFRVVWZXZEIrdzk4bUtpbE5YTkZvaHlFSlR6S2tmNGZERmR6aHRkb3ZCWTZtY1haR08xQjcvRHAyemdua1BUOXRxQ2N0RkMrTk5LMSs5UGlPKzdsU05mTmwxR1g4czZMb0M2eEJwWkpmaENKYmt4K3h6M0tQUjlYMGxRVlpnbzZtRS9WbVlLcG8rOVJRcEJSWVhIMll2V21nM0xwYnBkQkQ5WkZKRDUycDBCZnlzV2x5bjduaDlqRk1NS2pDTzE0eTE5Nkc3N241VTZ1SmNmYlc3VnNQeG5tTXRXbTJnbngvUVphekhqWlE3bW5pS3hKaWJ3VEJ6K0tieXNjTUo0ZGt0ZXFqb3BranlwZU5mNmVtMkQ4Z2dCTjA3Vk9XaUxiNDNJLzB2YzBlNjNhVWhpTHo1aHpWWm1TVEtFdGJNaVRYUjVuT3dGYXF1eGloaHNackxsUXhPUVdSWDdhWFFFZU1Ra1VtQ1ltNGp1bW9PcnZuc2ZHaVF6YVdya1Z2cGFtMmtOaGd4NitnNzQrS2JF&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Ferazer-defender-17-p1-md62757-intel-core-i7-13620h-16gb-1tb-ssd-rtx5060-freedos-17-3-tasinabilir-bilgisayar-p-HBCV0000AKZ9KA%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Apple MacBook Air M4 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gece Yarısı MW1L3TU/A",60.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=ZWxvRmpCRFByOWVBaUZ4dGUwa1VUUmtOc3lxay95SGcvdkVxZkYwUm4vdmNQdnBtZkVNMndVRm9IQzFOQ0N3Y3cyd2Fwc0Z5L1ZScytQOVpUOGk0K1orSyt6UjRsK3kxRW1kR2phSEFKaUZEY3dySUZlazIwVk9CMnB1QXZsbGt4RTJxbEJ1b3dOZWc5WXdtTDllbUxVUU45VzZyWWZTUHJxZDlISGJHaTlWRTFUMmM2WVAveFczaFBYVUc1U1c3c1prbHBGUEoyWWh4WitYdC93U29XU0QyWlFTTE9Cc1RXWk1lbWRMTFJDT0hvMngwd1dacFZhU3RlT3U2MWVwODNxbFZtL1d4V2JkbHhZQUJHWm4rTFhPbEJYV3ZkWFNJVDFnYVFLdzJkTXN6K2FuQjJ1c3ZaTjEwc2ZKUW42eXZqTWFTb0k2RWJ0Q2FWSWk5Ykdob0REMG5uR2VTYTZnMW1hZFFlUHJVYkowcXlPdS9lYzhWcllFcEF5TXo2WWM3ZGhHZTlsWFRxWEs0R1JKaS95cWE2L2VORitBQmIxY0JxYzZja29EUm9naGtacTRkaTBhOWU5NFlVajhvbEI3TkRuM3RtQU9zZU15SVFYWmlHd0ZHNnNpZlBMaHNjYVpLeEc5T2FUaDM5WjI4R3dvZzVaeVhrN2J1czdjTVE3VUdBcDhtZVMyZk1ha0E2OFpFZkJ6OUxHRlpzdVR4RHJnOFVjeW9kRlpWMFlN&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-gece-yarisi-mw1l3tu-a-p-HBCV00008749XP%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
Acer Aspire Lite AL16-54P Intel Core i5 1334U 16GB 512GB SSD Freedos 15.6'' FHD Taşınabilir Bilgisayar NX.D76EY.001,18.999 TL,https://www.hepsiburada.com/acer-aspire-lite-al16-54p-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-d76ey-001-pm-HBC0000A10UR2
"Dell Vostro 3530 N3404PVNB3530U08 I5-1334U 16GB 512SSD 15.6"" Fhd Windows 11 Pro Taşınabilir Bilgisayar-CNT009","26.960,78 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=THppZ0ZaZTRhUFh3Zmx3R1djeFVFRWp5eDRtZXdVMzlhYS9pb1lQZnNFcmNIOWpNaHdCYVU1d0NNNmc4OG1IZWUxakVvc0d6R2ErakZIajJtOVZaa3pVaHdUNXpVVTBiQ1BEVHRiaUVDWnM5N2dBNXFHb2U1a0VvNVBWanAyRzVvMlp5WVUyWXdySjUxb211VDA3SU9lL3l5WlVXQVFWNjZ0MUdEQldid0JXWnNvQ0FtNVNaSXhDb1czdEtQODIzSUtrTHdOVDE3MHY4ZWY2ekZYTzFZanc1UXo4Y2ROSjZwQ0pTenhVVENjYUkzcnpBWlJZNHdDc0JyeGVrMG85TUxUeTB6Y3Vzd0ZYWlZrSU4xRkVTRzdWa2pBdWhaVzZBUU1zNVpMV3NFY2VSRE1ocnZtUkFoY3dTSDEyNEx5dTJkNGVzZnFZSmdMeVpGTFNUYURVT1BMVHQ1T1RKRGpHTUQ2eElkbko3WUNyeVVzbmk2dHQrTnExZXRDOG5MUEZZN2ovMG5zbHk2UnZ0TVJSNkxQTk4zQjc0dVlZTzdpUnl1N3V1S2IxaDZ2MzFyTk5OcWEyS2FUeFEzVEFyc2RLckZyblJrdWFzUWxoUnJ5SFpBYVM1bDRETVRrUVA5Z09WcXdqMi9nRG42SGs3UU1XOTJjZkNHdjFGVVduN2lZemF5R05RTVlyOTJjMUxlc2lrNk05RUtFb3MwRU5nS1I2NGMwZzhwUmFJS3RV&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fdell-vostro-3530-n3404pvnb3530u08-i5-1334u-16gb-512ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-cnt009-p-HBCV000077K5H2%3Fmagaza%3Dteknoraks&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Game Garaj Slayer X7T-5060 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5060 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",57.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x7t-5060-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5060-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-HBCV00009MEIBK
"HP 15 FC0059NT AMD Ryzen 7 7730U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EA","19.903,40 TL",https://www.hepsiburada.com/hp-15-fc0059nt-amd-ryzen-7-7730u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-8m1t1ea-pm-HBC000050XW3W
"Huawei Matebook D14 2024 Intel Core Intel Core i5 12450H 16GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",24.499 TL,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-intel-core-i5-12450h-16gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-HBC000065LN09
"Hp Victus 16-S1011NT 9Z791EA R7-8845HS 32 GB 1 TB NVME M.2 SSD 8 GB RTX4060 16.1"" Freedos","53.346,23 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=eFNvS2gycjhxQzJxbVdOcm1vQlk2WDN5Ri9QWlEyVjRQYURsVXJqcVBEWDBsUkZ6ekI3cmtKNDUyV0U2UzZGTkFtSlFhUTFpOGF2S1BLU3ZwTDBEUFJ4RUFDSDl2RmZjNklJR2t0VlFTNndYbTVqbkthLzAwcUNTQmdlcnk4Y0poK014Z3lkcDlTWVhFeEhXV1AyZkdpejA3K1A3cDhqNDhzWE1GUVh4djg0Y1RSL2t5S2s5cUE1ZkRQSnlqaDVicHdxc0YrNFpNNnFoZ0NzVEQ3SVI1MVROM3I4N0FNZkd6NUxGTW1CM1dEbjh3WHVRK25zblo3bDVxVnBqaC84SGVEclZjT0VUREZ0Y2FuSVErU0hXOFd4OGU3cWUwam16UUd5Nm5YVHFjeDJ5Z2F5RE9VNGJqVlVnTEtaVVhUbDJDaHJDL2VLSXBsL1pmR29ZNU1HRmJEUHFLd2FSM1o2U3BQVzYwWlVncEVhOXQ5Nm9PMnhRd2ZYZ0FDUjVOdWd3UjdseFlLVkZmWVpJRGVhNmZnbVkwWjZwUzkvNktQVWJCajBoVktXV0IvVFdHbFhOTzJhQW9tZFNPK29pWFRhQ0ZFS0tZUzF3M2dQc1JrWEVtR1VyWXZraENqWXNxd1Bqa0tKaDJmZjVGTTFLejVNRlBmeTl4Mll4QTBWRmxidm83SDFPZzV4YWpSN1lJRUdIbDVxNjdTdTRSMWlEVVE3Z04rb1RyRERjR2JB&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-16-s1011nt-9z791ea-r7-8845hs-32-gb-1-tb-nvme-m-2-ssd-8-gb-rtx4060-16-1-freedos-p-HBCV00006GO131%3Fmagaza%3DHP+Store+T%C3%BCrkiye&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
Hp Omen 16-AP0019NT C12CNEA Amd Ryzen 9-8940HX 32GB Ram 1tb SSD 8gb Geforce RTX5070 16 Inç 2k 144Hz Freedos Siyah Taşınabilir Bilgisayar,"78.450,84 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=MVdaNEw4bW1maXFBRjFnQW51eGpCTHoxbTBPYy8rZG9Iejg0eGNYbTFzWVZZRXNFTVJONGhLTER3TmpaUHBlU3N2R1NHQTZDUnFiaTg2NXlockVFZkRQVEF5Q21qUVdmSEk1MDEvWFMxRzd4ek9xaXQvUzZmaGxmbSt4cUliZVYzNXA3b01hMm1rcDFhMEFiQnN6RlkvRTRHUHMxaUd6L2VQYlJBS05GcGxtc2pocTRJTXRYTHFRTWluT2U5cmhZK01LY3lJNTl0UGxyNk91MU52V1JsSGZOWjg2dlJFZGhGbVhKb3lvTG0vT2tFOGFQNzU1dnJydWpWK285ajk2OHlkMXhNZUVHaU1XQVJEd0swbjNhTVhqcG45a2s3K1ZYREZTT0NjSmc4Y0lrdVJnNVhhSCttMUs4U3M4KzlTVzE5NnEvZkVyRDBVeHVXWFNwczZRdnllL01TRGFkU05US1FjS2JRaXVSUkFrakhaRnJYM3BOYVZVWGtLdDZ6eHRiU3YvTVJZUElZeWM1ZE5oMTZkK2YrRUJEY09RTGk3NHN4V3hiU0NzYUdsUktkb1NEd1BFMnpJUG1oelpCMHo1dDlsRzg4NUJET2V6ZzZVS0p0TkRoUTJCYWI2c29qaDBqc1RqeUQ2Y0hwd0pqOGdYdGE0OG03eW0yc1NWM3l2R3VkT0xvcmxXTVBWQ0RzNllvOXZ3UDlXdHF3NDVIcGN6RTFQVCtPZ1l1YWlZ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-omen-16-ap0019nt-c12cnea-amd-ryzen-9-8940hx-32gb-ram-1tb-ssd-8gb-geforce-rtx5070-16-inc-2k-144hz-freedos-siyah-tasinabilir-bilgisayar-p-HBCV00009YWYMK%3Fmagaza%3DHP+Store+T%C3%BCrkiye&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Lenovo IdeaPad Slim 3 Intel Core i3 1315U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82X700G0TX","17.112,40 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i3-1315u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82x700g0tx-pm-HBC00009PYLS9
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MC7X4TU/A",37.799 TL,https://www.hepsiburada.com/apple-macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gece-yarisi-mc7x4tu-a-pm-HBC000078JE62
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gök Mavisi MC6T4TU/A","48.116,11 TL",https://www.hepsiburada.com/apple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gok-mavisi-mc6t4tu-a-p-HBCV00008749EE
"Casper Excalibur G870 Intel Core 5 210H 32GB 1TB RTX5060 Freedos 15.6"" Taşınabilir Bilgisayar G870.210H-DF60X-C",50.599 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-5-210h-32gb-1tb-rtx5060-freedos-15-6-tasinabilir-bilgisayar-g870-210h-df60x-c-pm-HBC000095GHIR
"Hp Probook 450 G10 969H2ET018 I7-1355U 32 GB 1TB SSD 15.6"" Fhd Windows 11 Pro Taşınabilir Bilgisayar-CNT019","53.213,02 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=T201Q21xdnVYb3BJeTJNZnRTd1Fsb0JjSDhRdTlmSmcvTEVVeW5pN1ptTEZyRzlDZXFCNlhYd3FUZWg0L1U3S2VtTDhSM0V5bGQzenVDNnAxYXBWK043cVhuOFNGcDg4eDFYeitGRDJSaXNtaThPclQ2ZmJESk80WDlwaWhXQittbldJeDhFNnpVM2dsT2FTQnpXMnQwN2VOajU2UUN5YldzNWxwalU4c3VOdTJEMVh5UzJySGdwL1JRWUVCMHRuYlRjT0FIRlorYkhoVmxidnorZFNQNFlGRFlWRWRuMkZCTTk3WlpXTHlOdHFvUmVUN1FjQnVaeXJBaUg4MWNqQTZhSStsMTRkbEl6UU1tY0pta1FBSWdSZXhKRnBlU0RDYXJvdDM3OVVOZTNDaTJrK0tLcnVlYWtYTWgyQk45YVhHdTVoTTlNTjc2dldaL2JoTC9YcFZvRHJrdjdxSHM4ZDkvM3EwY1dmaUgwamhCalJqcHV3Z2pQdWg3ZEFmZnlvSGxVSjNpaldHWE9uZkdrU2dVNVBlM0lXbUFPNWdLUjAwOGRvSFpYL2RPR1dLNUx0cHlabkQ5T1pXRFZFZ3RzR3J5TzlYcS9YMnQ1aUp1enBtMnNqanhpUVhtRFlpSC92cjdGYzlIZEVxbmVXMEthcmZkNklLeUVmMCt0QnpzWERDOTN6eGNRMFkyS2wwVjBBcVNYNTJvSjhMN2dGWnBjUXJEREYwYTluVmtN&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-probook-450-g10-969h2et018-i7-1355u-32-gb-1tb-ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-cnt019-p-HBCV0000892EN1%3Fmagaza%3Dteknoraks&eventName=sp-click&platform=desktop&anonymousId=bfa841d7-2f04-40c2-87ec-f2aa6e55dd43
"Acer Aspire Lite AL15-71P Intel Core i5 12450H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar NX.J7MEY.001",17.499 TL,https://www.hepsiburada.com/acer-aspire-lite-al15-71p-intel-core-i5-12450h-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-j7mey-001-pm-HBC00008A1HDZ
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5-13420H 16GB 512GB SSD 16"" Wuxga (1920X1200) IPS Panel Freedos Taşınabilir Dizüstü Bilgisayar 83K20073TR",25.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-intel-core-i5-13420h-16gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-dizustu-bilgisayar-83k20073tr-pm-HBC00009P0ZN3
"Casper Nirvana S100 300NIT i7-13620H 32GB DDR5 1TB SSD 16"" Freedos Laptop S100.1362-DF00X-G-F",30.499 TL,https://www.hepsiburada.com/casper-nirvana-s100-300nit-i7-13620h-32gb-ddr5-1tb-ssd-16-freedos-laptop-s100-1362-df00x-g-f-p-HBCV00007XO5VN
"Game Garaj Slayer X7T-5070 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5070 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",65.199 TL,https://www.hepsiburada.com/game-garaj-slayer-x7t-5070-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5070-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-HBCV00009MMCJR
